epoch,time_elapsed,rollout_ep_steps,total_rollout_steps,rollout_return,actor_lr,critic_lr,,,,,
27.90798903,28600,0.001,200,-251.969177,142,0.0001,,,,6.892413,0.34545505
28.14711428,28800,0.001,200,-266.7706202,143,0.0001,,,,6.91851,0.39052078
28.3840189,29000,0.001,200,-240.2192568,144,0.0001,,,,7.004404,0.40387428
28.62073326,29200,0.001,200,-247.5649012,145,0.0001,,,,7.09011,0.33443666
28.85668874,29400,0.001,200,-256.9452424,146,0.0001,,,,7.152581,0.36096397
29.09370184,29600,0.001,200,-235.3027012,147,0.0001,,,,7.2308726,0.32823804
29.33307314,29800,0.001,200,-225.3631911,148,0.0001,,,,7.269089,0.36251298
29.57103038,30000,0.001,200,-238.6495791,149,0.0001,,,,7.3118496,0.32045287
29.80646086,30200,0.001,200,-253.7411482,150,0.0001,,,,7.398802,0.34015903
30.0478816,30400,0.001,200,-236.6934707,151,0.0001,,,,7.384473,0.43044147
30.29027176,30600,0.001,200,-238.1992127,152,0.0001,,,,7.3767314,0.46201915
30.53108025,30800,0.001,200,-260.5738899,153,0.0001,,,,7.447458,0.43145794
30.77071309,31000,0.001,200,-241.3130795,154,0.0001,,,,7.4531317,0.44003448
31.01022744,31200,0.001,200,-234.6328656,155,0.0001,,,,7.501182,0.42880908
31.24864054,31400,0.001,200,-250.393478,156,0.0001,,,,7.544278,0.43411824
31.48825765,31600,0.001,200,-253.2756965,157,0.0001,,,,7.6048527,0.38829827
31.72725797,31800,0.001,200,-237.6595603,158,0.0001,,,,7.667605,0.41460377
31.96716571,32000,0.001,200,-240.470232,159,0.0001,,,,7.672406,0.4532236
32.20757127,32200,0.001,200,-243.3157066,160,0.0001,,,,7.6930056,0.52090585
32.44746232,32400,0.001,200,-253.8271647,161,0.0001,,,,7.6967797,0.5250661
32.68458462,32600,0.001,200,-239.6404229,162,0.0001,,,,7.738953,0.48731774
32.92282629,32800,0.001,200,-244.6972936,163,0.0001,,,,7.8437986,0.50153047
33.15732098,33000,0.001,200,-233.2020805,164,0.0001,,,,7.8476415,0.45235112
33.394768,33200,0.001,200,-254.6735581,165,0.0001,,,,7.9044867,0.5525361
33.6335516,33400,0.001,200,-243.8250996,166,0.0001,,,,7.882662,0.497133
33.86954832,33600,0.001,200,-246.5826396,167,0.0001,,,,7.9513893,0.52676886
34.10887694,33800,0.001,200,-236.374954,168,0.0001,,,,8.0135145,0.4860879
34.34686756,34000,0.001,200,-233.8449951,169,0.0001,,,,8.04001,0.4538125
34.58292651,34200,0.001,200,-230.651817,170,0.0001,,,,8.092599,0.48452437
34.8210969,34400,0.001,200,-238.5146165,171,0.0001,,,,8.175421,0.54521036
35.06113791,34600,0.001,200,-242.6468828,172,0.0001,,,,8.195205,0.48571754
35.30191493,34800,0.001,200,-246.8378496,173,0.0001,,,,8.304602,0.44172582
35.54255676,35000,0.001,200,-240.1919835,174,0.0001,,,,8.335407,0.45438477
35.78268003,35200,0.001,200,-239.7731409,175,0.0001,,,,8.325848,0.4899069
36.02104902,35400,0.001,200,-232.6505089,176,0.0001,,,,8.3672695,0.4883695
36.25837708,35600,0.001,200,-244.4628177,177,0.0001,,,,8.472891,0.4591494
36.49853802,35800,0.001,200,-255.3882338,178,0.0001,,,,8.48581,0.5308835
36.73859668,36000,0.001,200,-229.6378732,179,0.0001,,,,8.581352,0.45656586
36.97843742,36200,0.001,200,-254.5215534,180,0.0001,,,,8.627099,0.43627328
37.21736503,36400,0.001,200,-229.9497088,181,0.0001,,,,8.629945,0.5122669
37.4545784,36600,0.001,200,-238.8516027,182,0.0001,,,,8.703849,0.4510708
37.69116163,36800,0.001,200,-233.9907176,183,0.0001,,,,8.719211,0.46998012
37.9341774,37000,0.001,200,-253.9524773,184,0.0001,,,,8.790994,0.4991128
38.17312145,37200,0.001,200,-239.3114045,185,0.0001,,,,8.869768,0.58706313
38.41090059,37400,0.001,200,-228.431043,186,0.0001,,,,8.874801,0.4762598
38.65473151,37600,0.001,200,-234.7631217,187,0.0001,,,,8.931692,0.435331
38.89671493,37800,0.001,200,-231.1864136,188,0.0001,,,,9.054606,0.46406722
39.13679004,38000,0.001,200,-240.9628148,189,0.0001,,,,9.029837,0.5190455
39.37626123,38200,0.001,200,-242.4155737,190,0.0001,,,,9.162572,0.5358691
39.61911559,38400,0.001,200,-241.6330483,191,0.0001,,,,9.210363,0.44173142
39.8627727,38600,0.001,200,-238.9010309,192,0.0001,,,,9.1897,0.45591682
40.10589981,38800,0.001,200,-241.4137223,193,0.0001,,,,9.171138,0.5448704
40.34734797,39000,0.001,200,-239.0641662,194,0.0001,,,,9.33286,0.4438393
40.58745003,39200,0.001,200,-228.8419043,195,0.0001,,,,9.350977,0.49883348
40.83286548,39400,0.001,200,-234.2483121,196,0.0001,,,,9.291679,0.5164044
41.07623053,39600,0.001,200,-246.7239156,197,0.0001,,,,9.392133,0.46612605
41.31785345,39800,0.001,200,-235.4593479,198,0.0001,,,,9.482461,0.41537848
41.55823708,40000,0.001,200,-228.9126275,199,0.0001,,,,9.484771,0.42336372
41.80177498,40200,0.001,200,-237.0113246,200,0.0001,,,,9.456084,0.59057915
,40200,,,,200,,0.321406578,,,,
45.20992446,40400,0.001,200,-235.1505781,201,0.0001,,,,9.573924,0.43206498
45.45586324,40600,0.001,200,-263.3014133,202,0.0001,,,,9.605819,0.4698101
45.69664073,40800,0.001,200,-241.2122169,203,0.0001,,,,9.6312065,0.4646386
45.94159102,41000,0.001,200,-240.7624504,204,0.0001,,,,9.722836,0.46458793
46.18214512,41200,0.001,200,-227.5992783,205,0.0001,,,,9.615787,0.44568726
